Purchase Date,Fiscal Year,LPA Number,Purchase Order Number,Acquisition Type,Sub-Acquisition Type,Acquisition Method,Department Name,Supplier Code,Supplier Qualifications,Quantity, Unit Price , Total Price ,Classification Codes,Normalized UNSPSC,Commodity Title,Class,Class Title,Family,Family Title,Segment,Segment Title
5/22/2013,2012-2013,,12-506-0193,NON-IT Goods,,Informal Competitive,"State Hospitals, Department of",1745491,,20,42.5,850,50401850,50401850,Wax beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
5/28/2013,2012-2013,,4500182023,NON-IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",32474,CA-MB CA-SB,4,2.5,10,27111703,27111703,Socket sets,27111700,Wrenches and drivers,27110000,Hand tools,27000000,Tools and General Machinery
5/22/2013,2012-2013,,12560229,NON-IT Goods,,Formal Competitive,"State Hospitals, Department of",1019503,,2,237,474,31181604,31181604,Seal mechanical,31181600,Seals,31180000,Gaskets and seals,31000000,Manufacturing Components and Supplies
5/28/2013,2012-2013,,4500179548,NON-IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",1748286,,462,10,"4,620.00",50404615,50404615,Iceberg lettuce,50404600,Lettuces,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
5/15/2013,2012-2013,,PO422669,NON-IT Goods,,Fair and Reasonable,"Fish and Wildlife, Department of",1746794,,5,272,"1,360.00",24111508,24111508,Tent bag,24111500,Bags,24110000,Containers and storage,24000000,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
5/28/2013,2012-2013,,DRP12284,NON-IT Goods,,Formal Competitive,"Education, Department of",40517,CA-MB CA-SB,50,44.62,"2,231.00",14111703,14111703,Paper towels,14111700,Personal paper products,14110000,Paper products,14000000,Paper Materials and Products
5/20/2013,2012-2013,,4500181403,IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",1755386,,1,"63,452.99","63,452.99",81112201,81112201,Maintenance or support fees,81112200,Software maintenance and support,81110000,Computer services,81000000,Engineering and Research and Technology Based Services
4/15/2014,2013-2014,,P3872AJD,NON-IT Goods,,Formal Competitive,"Conservation Corps, California",15939,CA-SB,10,28.04,280.4,27112746,27112746,Chain saw,27112700,Power tools,27110000,Hand tools,27000000,Tools and General Machinery
7/16/2013,2013-2014,,4500190168,NON-IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",1748286,,192,14.9,"2,860.80",50301702,50301702,Baby bananas,50301700,Bananas,50300000,Fresh fruits,50000000,Food Beverage and Tobacco Products
8/26/2013,2013-2014,,4500195870,NON-IT Goods,,Informal Competitive,Correctional Health Care Services,1017336,,1,146.15,146.15,44122010,44122010,Dividers,44122000,Folders and binders and indexes,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies
9/11/2013,2013-2014,,3171461,NON-IT Goods,,Fair and Reasonable,"General Services, Department of",1755347,,1,"1,866.00","1,866.00",78111808,78111808,Vehicle rental,78111800,Passenger road transportation,78110000,Passenger transport,78000000,Transportation and Storage and Mail Services
8/2/2013,2013-2014,,4500190668,NON-IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",6523,CA-SB CA-SBE WBE WOSB,1,995.04,995.04,53102503,53102503,Hats,53102500,Clothing accessories,53100000,Clothing,53000000,Apparel and Luggage and Personal Care Products
8/16/2013,2013-2014,,13-G0053,NON-IT Goods,,Informal Competitive,"Pesticide Regulation, Department of",12214,CA-MB CA-SB,8,3.83,30.64,55121616,55121616,Self adhesive flags,55121600,Labels,55120000,Signage and accessories,55000000,Published Products
1/22/2014,2013-2014,,365D3004,NON-IT Goods,,State Programs,"Highway Patrol, California",1755837,,2,260,520,56101504,56101504,Chairs,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
9/27/2013,2013-2014,,13-201-0036,NON-IT Goods,,Informal Competitive,"State Hospitals, Department of",13023,CA-SB,100,0.82,82,44121706,44121706,Wooden pencils,44121700,Writing instruments,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies
9/5/2013,2013-2014,,4500197374,NON-IT Goods,,State Programs,"Corrections and Rehabilitation, Department of",1755837,,1,"55,894.05","55,894.05",50181901,50181901,Fresh bread,50181900,Bread and biscuits and cookies,50180000,Bread and bakery products,50000000,Food Beverage and Tobacco Products
9/11/2013,2013-2014,,13560040,NON-IT Goods,,Informal Competitive,"State Hospitals, Department of",1757528,,4,1.95,7.8,31171607,31171607,Wear bushing,31171600,Bushings,31170000,Bearings and bushings and wheels and gears,31000000,Manufacturing Components and Supplies
1/8/2014,2013-2014,,4500213943,NON-IT Goods,,NCB,"Corrections and Rehabilitation, Department of",1027701,,7,10.9,76.3,55101509,55101509,Educational or vocational textbooks,55101500,Printed publications,55100000,Printed media,55000000,Published Products
9/20/2013,2013-2014,1-13-70-02A,REQ0011189,IT Goods,,Statewide Contract,"Consumer Affairs, Department of",1755386,,1,3,3,76122408,76122408,State county local waste or recycle fee,76122400,Refuse disposal and treatment fees,76120000,Refuse disposal and treatment,76000000,Industrial Cleaning Services
9/20/2013,2013-2014,7-11-51-02,13560049,NON-IT Goods,,WSCA/Coop,"State Hospitals, Department of",1001584,,12,3.5,42,31201501,31201501,Duct tape,31201500,Tape,31200000,Adhesives and sealants,31000000,Manufacturing Components and Supplies
11/19/2013,2013-2014,,4500204510,NON-IT Goods,,SB/DVBE Option,"Water Resources, Department of",1755530,CA-MB CA-SB,8,129,"1,032.00",31161610,31161610,Eye bolts,31161600,Bolts,31160000,Hardware,31000000,Manufacturing Components and Supplies
10/10/2013,2013-2014,1-13-70-02A,0474-2013,IT Goods,,Statewide Contract,California Emergency Management Agency,1755386,,22,3,66,76122305,76122305,Recycling of computer based products,76122300,Recycling services,76120000,Refuse disposal and treatment,76000000,Industrial Cleaning Services
10/15/2013,2013-2014,7-11-51-02,4500203203,NON-IT Goods,,WSCA/Coop,"Water Resources, Department of",1001584,,1,271.6,271.6,27112720,27112720,Torque tools,27112700,Power tools,27110000,Hand tools,27000000,Tools and General Machinery
10/23/2013,2013-2014,1-11-87-17C,PO232325,NON-IT Goods,,Statewide Contract,"Fish and Wildlife, Department of",1752282,,10000,0.48,"4,750.00",10121702,10121702,Fish food pellets,10121700,Fish food,10120000,Animal feed,10000000,Live Plant and Animal Material and Accessories and Supplies
11/5/2013,2013-2014,,4500206367,NON-IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",1026891,,6772.5,1,"6,772.50",31162411,31162411,Snap rings,31162400,Miscellaneous fasteners,31160000,Hardware,31000000,Manufacturing Components and Supplies
10/18/2013,2013-2014,1-12-65-65-01-E,W0000487,NON-IT Goods,,Statewide Contract,"Veterans Affairs, Department of",1752319,,1,"2,777.60","2,777.60",53102306,53102306,Adult diapers,53102300,Undergarments,53100000,Clothing,53000000,Apparel and Luggage and Personal Care Products
11/13/2013,2013-2014,5-08-89-15,4500207336,NON-IT Goods,,Statewide Contract,Correctional Health Care Services,1758151,,1,474.15,474.15,50193101,50193101,Instant snack mixes,50193100,Instant mixes and supplies,50190000,Prepared and preserved foods,50000000,Food Beverage and Tobacco Products
11/18/2013,2013-2014,,645D3006,NON-IT Goods,,State Programs,"Highway Patrol, California",1755837,,1,546,546,56101504,56101504,Chairs,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
11/15/2013,2013-2014,7-11-51-01,4500203743,NON-IT Goods,,WSCA/Coop,"Water Resources, Department of",1013057,,9,102.88,925.92,31162803,31162803,Shackles,31162800,Miscellaneous hardware,31160000,Hardware,31000000,Manufacturing Components and Supplies
11/7/2013,2013-2014,,S3260008,NON-IT Goods,,Formal Competitive,"Parks & Recreation, Department of",1759075,,6,950,"5,700.00",11121809,11121809,Straw,11121800,Plant fibers,11120000,Non edible plant and forestry products,11000000,Mineral and Textile and Inedible Plant and Animal Materials
12/9/2013,2013-2014,1-11-87-17C,986,NON-IT Goods,,Statewide Contract,"Fish and Wildlife, Department of",1752282,,10000,0.57,"5,700.00",10121702,10121702,Fish food pellets,10121700,Fish food,10120000,Animal feed,10000000,Live Plant and Animal Material and Accessories and Supplies
12/27/2013,2013-2014,,4500213518,NON-IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",1730366,CA-SB,1,"11,176.80","11,176.80",50221101,50221101,Cereal grains,50221100,Cereals,50220000,Cereal and pulse products,50000000,Food Beverage and Tobacco Products
12/18/2013,2013-2014,,P3810AHQ,NON-IT Goods,,Fair and Reasonable,"Conservation Corps, California",1760022,,3,32,96,31211507,31211507,Spray paints,31211500,Paints and primers,31210000,Paints and primers and finishes,31000000,Manufacturing Components and Supplies
12/11/2013,2013-2014,1-12-75-04,3173407,NON-IT Goods,,Statewide Contract,"General Services, Department of",1744915,,1,"11,990.00","11,990.00",44121506,44121506,Standard envelopes,44121500,Mailing supplies,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies
1/7/2014,2013-2014,1-13-89-50,SN353046,NON-IT Goods,,Statewide Contract,"Developmental Services, Department of",1756637,,205,1.59,325.95,50181901,50181901,Fresh bread,50181900,Bread and biscuits and cookies,50180000,Bread and bakery products,50000000,Food Beverage and Tobacco Products
12/30/2013,2013-2014,,13-G0236,NON-IT Goods,,Fair and Reasonable,"Pesticide Regulation, Department of",1760284,,32,56.48,"1,807.36",49101702,49101702,Trophies,49101700,Awards,49100000,Collectibles and awards,49000000,Sports and Recreational Equipment and Supplies and Accessories
12/30/2013,2013-2014,,2PA2N121,IT Goods,,State Programs,"Forestry and Fire Protection, Department of",1755837,,9,287,"2,583.00",56101504,56101504,Chairs,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
6/18/2014,2013-2014,,4500239165,NON-IT Goods,,Fair and Reasonable,Correctional Health Care Services,1755858,,1,150,150,31161610,31161610,Eye bolts,31161600,Bolts,31160000,Hardware,31000000,Manufacturing Components and Supplies
4/25/2014,2013-2014,,4500208180,NON-IT Goods,,SB/DVBE Option,"Water Resources, Department of",1755530,CA-MB CA-SB,300,0.04,12,31161740,31161740,Bolt nut,31161700,Nuts,31160000,Hardware,31000000,Manufacturing Components and Supplies
4/4/2014,2013-2014,,4500223362,NON-IT Goods,,State Programs,"Corrections and Rehabilitation, Department of",1755837,,1,"19,710.00","19,710.00",50201706,50201706,Coffee,50201700,Coffee and tea,50200000,Beverages,50000000,Food Beverage and Tobacco Products
6/25/2014,2013-2014,,P1301169,NON-IT Goods,,Fair and Reasonable,Franchise Tax Board,2319,CA-SB CA-SBE SB,1,695,695,56101504,56101504,Chairs,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
1/2/2014,2013-2014,,4500214269,NON-IT Goods,,Services are specifically exempt by policy,"Corrections and Rehabilitation, Department of",1754190,SB,1,"5,514.00","5,514.00",55101509,55101509,Educational or vocational textbooks,55101500,Printed publications,55100000,Printed media,55000000,Published Products
1/16/2014,2013-2014,,3029-560,NON-IT Goods,,State Programs,"Food and Agriculture, Department of",1755837,,2,520,"1,040.00",56101504,56101504,Chairs,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
1/9/2014,2013-2014,,13-G0247,NON-IT Goods,,Informal Competitive,"Pesticide Regulation, Department of",10803,CA-SB,12,4.9,58.8,14111514,14111514,Paper pads or notebooks,14111500,Printing and writing paper,14110000,Paper products,14000000,Paper Materials and Products
1/7/2014,2013-2014,,X1164,NON-IT Goods,,Fair and Reasonable,"Justice, Department of",19921,,3,135,405,31411904,31411904,Rubber on metal or plastic molded seal,31411900,Molded seals,31410000,Seals,31000000,Manufacturing Components and Supplies
5/19/2014,2013-2014,,FV350276,NON-IT Goods,,Informal Competitive,"Developmental Services, Department of",1755634,,1,"6,978.39","6,978.39",56101520,56101520,Lockers,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
3/27/2014,2013-2014,,4500220249,NON-IT Goods,,Formal Competitive,"Corrections and Rehabilitation, Department of",1755837,,1,"46,245.00","46,245.00",50131609,50131609,Prepared eggs,50131600,Eggs and egg substitutes,50130000,Dairy products and eggs,50000000,Food Beverage and Tobacco Products
2/27/2014,2013-2014,1-13-89-52,4500221629,NON-IT Goods,,Statewide Contract,"Corrections and Rehabilitation, Department of",1000624,,10010,0.59,"5,855.85",50403209,50403209,Butter and sugar corn,50403200,Corn,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
3/17/2014,2013-2014,1-12-65-05,X1584,NON-IT Goods,,Statewide Contract,"Justice, Department of",1744806,,10,94.5,945,12161705,12161705,Basic buffers,12161700,Buffers,12160000,Additives,12000000,Chemicals including Bio Chemicals and Gas Materials
3/26/2014,2013-2014,,2013-1696,NON-IT Goods,,Services are specifically exempt by policy,"Equalization, Board of",1008361,,1,"5,724.00","5,724.00",56101504,56101504,Chairs,56101500,Furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
3/19/2014,2013-2014,1-11-70-04B,3025-341,IT Goods,,Statewide Contract,"Food and Agriculture, Department of",1755386,,1,585.26,585.26,14111507,14111507,Printer or copier paper,14111500,Printing and writing paper,14110000,Paper products,14000000,Paper Materials and Products
3/6/2014,2013-2014,,065D3010,NON-IT Goods,,SB/DVBE Option,"Highway Patrol, California",31085,CA-SB SB,100,4.22,422,53102703,53102703,Police uniforms,53102700,Uniforms,53100000,Clothing,53000000,Apparel and Luggage and Personal Care Products
3/7/2014,2013-2014,,4500223179,NON-IT Goods,,NCB,Correctional Health Care Services,1769842,,14,"1,775.00","24,850.00",56101703,56101703,Desks,56101700,Office furniture,56100000,Accommodation furniture,56000000,Furniture and Furnishings
3/11/2014,2013-2014,,4500223734,NON-IT Goods,,Fair and Reasonable,Correctional Health Care Services,13023,CA-SB,1,127.68,127.68,55121620,55121620,Multipurpose labels,55121600,Labels,55120000,Signage and accessories,55000000,Published Products
7/7/2014,2014-2015,,4500241685,NON-IT Goods,,Fair and Reasonable,Correctional Health Care Services,1757013,CA-MB CA-SB,1,912,912,50305028,50305028,Navel oranges,50305000,Oranges,50300000,Fresh fruits,50000000,Food Beverage and Tobacco Products
4/22/2014,2013-2014,,13540059,NON-IT Goods,,Informal Competitive,"State Hospitals, Department of",1769809,,12,1.51,18.12,31161740,31161740,Bolt nut,31161700,Nuts,31160000,Hardware,31000000,Manufacturing Components and Supplies
3/13/2014,2013-2014,,3149831,NON-IT Services,Public Works,Formal Competitive,"General Services, Department of",47419,,1,"137,875.00","137,875.00",93151512,93151512,Public institutions services,93151500,Public administration,93150000,Public administration and finance services,93000000,Politics and Civic Affairs Services
3/10/2014,2013-2014,1-14-23-23 A - G,3174787,NON-IT Goods,,Statewide Contract,"General Services, Department of",1000741,,3,"20,828.75","62,486.25",25101505,25101505,Minivans or vans,25101500,Passenger motor vehicles,25100000,Motor vehicles,25000000,Commercial and Military and Private Vehicles and their Accessories and Components
6/11/2014,2013-2014,,4500236952,NON-IT Goods,,Formal Competitive,"Corrections and Rehabilitation, Department of",1755837,,1,"25,389.00","25,389.00",50202601,50202601,Apple juice,50202600,Fresh pome fruit juice or concentrate,50200000,Beverages,50000000,Food Beverage and Tobacco Products
6/11/2014,2013-2014,,4500236986,NON-IT Goods,,Formal Competitive,"Corrections and Rehabilitation, Department of",1755837,,1,"61,332.60","61,332.60",50131609,50131609,Prepared eggs,50131600,Eggs and egg substitutes,50130000,Dairy products and eggs,50000000,Food Beverage and Tobacco Products
6/25/2014,2013-2014,5-13-89-15,4500240331,NON-IT Goods,,Master Purchase/Price Agreement,"Corrections and Rehabilitation, Department of",1758151,,1,"20,000.00","20,000.00",50401824,50401824,Green beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
6/13/2014,2013-2014,,13-501-0338,NON-IT Goods,,Informal Competitive,"State Hospitals, Department of",1751003,CA-MB CA-SB,60,24,"1,440.00",53102306,53102306,Adult diapers,53102300,Undergarments,53100000,Clothing,53000000,Apparel and Luggage and Personal Care Products
6/12/2014,2013-2014,,4500237827,NON-IT Goods,,Informal Competitive,"Corrections and Rehabilitation, Department of",1754093,CA-MB CA-SB,1,"5,393.75","5,393.75",10101502,10101502,Dogs,10101500,Livestock,10100000,Live animals,10000000,Live Plant and Animal Material and Accessories and Supplies
5/13/2014,2013-2014,5-13-89-15,4500232923,NON-IT Goods,,Master Purchase/Price Agreement,"Corrections and Rehabilitation, Department of",1758151,,1,"6,000.00","6,000.00",50401824,50401824,Green beans,50401800,Beans,50400000,Fresh vegetables,50000000,Food Beverage and Tobacco Products
